id,text,label,category
156,Tesla unveils latest electric vehicle with autonomous driving capabilities.,0,Technology
157,Hockey team celebrates victory with hometown parade.,1,Sports
158,Broadway show receives standing ovation at premiere night. Industry experts are closely monitoring the situation.,3,Entertainment
159,Baseball team makes historic comeback in ninth inning.,1,Sports
160,Broadway show receives standing ovation at premiere night.,3,Entertainment
161,Basketball legend announces retirement after illustrious career.,1,Sports
162,Local team wins championship after thrilling overtime victory.,1,Sports
163,Tesla unveils latest electric vehicle with autonomous driving capabilities.,0,Technology
164,Banking sector implements new digital payment system. Industry experts are closely monitoring the situation.,2,Business
165,Blockbuster movie breaks box office records on opening weekend.,3,Entertainment
166,Central bank adjusts interest rates to control inflation. Industry experts are closely monitoring the situation.,2,Business
167,Famous actor wins prestigious award for outstanding performance.,3,Entertainment
168,Banking sector implements new digital payment system.,2,Business
169,Streaming service launches new feature powered by artificial intelligence.,0,Technology
170,Popular TV series announces final season to fans' disappointment. Industry experts are closely monitoring the situation.,3,Entertainment
171,Real estate market shows signs of recovery in major cities.,2,Business
172,Swimmer qualifies for Olympics with personal best time.,1,Sports
173,Famous author releases bestselling novel to critical acclaim.,3,Entertainment
174,Blockbuster movie breaks box office records on opening weekend.,3,Entertainment
175,Cybersecurity experts warn about new malware targeting businesses.,0,Technology
176,Real estate market shows signs of recovery in major cities.,2,Business
177,Swimmer qualifies for Olympics with personal best time.,1,Sports
178,Real estate market shows signs of recovery in major cities.,2,Business
179,Swimmer qualifies for Olympics with personal best time.,1,Sports
180,Pop star performs sold-out concert at major venue.,3,Entertainment
181,Startup company goes public with successful IPO launch.,2,Business
182,Gymnast wins gold medal with perfect score at championships.,1,Sports
183,Music festival attracts thousands of fans from around the world.,3,Entertainment
184,Investors show confidence with strong market performance.,2,Business
185,Baseball team makes historic comeback in ninth inning. Industry experts are closely monitoring the situation.,1,Sports
186,Hockey team celebrates victory with hometown parade.,1,Sports
187,Director unveils trailer for highly anticipated film sequel. Industry experts are closely monitoring the situation.,3,Entertainment
188,Blockbuster movie breaks box office records on opening weekend.,3,Entertainment
189,Investors show confidence with strong market performance.,2,Business
190,Pharmaceutical giant develops breakthrough medication for disease. Industry experts are closely monitoring the situation.,2,Business
191,Hockey team celebrates victory with hometown parade. Industry experts are closely monitoring the situation.,1,Sports
192,Tesla unveils latest electric vehicle with autonomous driving capabilities.,0,Technology
193,Stock market reaches record high amid strong economic indicators. Industry experts are closely monitoring the situation.,2,Business
194,Apple announces new iPhone with revolutionary AI features and improved battery life. Industry experts are closely monitoring the situation.,0,Technology
195,New smartphone app uses AI to detect health conditions early.,0,Technology
196,Startup raises millions to develop revolutionary battery technology.,0,Technology
197,Economic growth exceeds expectations in latest report. Industry experts are closely monitoring the situation.,2,Business
198,Olympic committee reveals host city for upcoming games.,1,Sports
199,Star athlete signs record-breaking contract worth millions.,1,Sports
200,Famous author releases bestselling novel to critical acclaim.,3,Entertainment
201,Award show celebrates best performances of the year.,3,Entertainment
202,National soccer team advances to finals after stunning performance.,1,Sports
203,New smartphone app uses AI to detect health conditions early.,0,Technology
204,Olympic committee reveals host city for upcoming games.,1,Sports
205,Meta introduces new virtual reality headset for immersive experiences.,0,Technology
206,Tech giant invests billions in renewable energy infrastructure. Industry experts are closely monitoring the situation.,0,Technology
207,Startup company goes public with successful IPO launch.,2,Business
208,Automotive manufacturer reports record quarterly earnings.,2,Business
209,Oil prices surge following international production cuts.,2,Business
210,Tech giant invests billions in renewable energy infrastructure.,0,Technology
211,Pop star performs sold-out concert at major venue.,3,Entertainment
212,Cybersecurity experts warn about new malware targeting businesses.,0,Technology
213,Tech giant invests billions in renewable energy infrastructure.,0,Technology
214,Google launches advanced machine learning platform for developers worldwide.,0,Technology
215,Star athlete signs record-breaking contract worth millions.,1,Sports
216,New album debuts at number one on music charts worldwide.,3,Entertainment
217,Economic growth exceeds expectations in latest report.,2,Business
218,Apple announces new iPhone with revolutionary AI features and improved battery life.,0,Technology
219,Scientists develop faster processors using advanced chip technology.,0,Technology
220,Investors show confidence with strong market performance.,2,Business
221,Cricket match ends in dramatic tie-breaking finale.,1,Sports
222,Startup raises millions to develop revolutionary battery technology.,0,Technology
223,Football coach receives award for outstanding season performance. Industry experts are closely monitoring the situation.,1,Sports
224,Stock market reaches record high amid strong economic indicators.,2,Business
225,Blockbuster movie breaks box office records on opening weekend.,3,Entertainment
226,Blockbuster movie breaks box office records on opening weekend. Industry experts are closely monitoring the situation.,3,Entertainment
227,Google launches advanced machine learning platform for developers worldwide.,0,Technology
228,Startup raises millions to develop revolutionary battery technology.,0,Technology
229,Animation studio reveals plans for upcoming feature film. Industry experts are closely monitoring the situation.,3,Entertainment
230,Scientists develop faster processors using advanced chip technology.,0,Technology
231,Broadway show receives standing ovation at premiere night. Industry experts are closely monitoring the situation.,3,Entertainment
232,Major tech company announces plans to hire thousands of engineers.,0,Technology
233,Award show celebrates best performances of the year.,3,Entertainment
234,Merger creates industry giant in telecommunications sector.,2,Business
235,Famous actor wins prestigious award for outstanding performance.,3,Entertainment
236,Tesla unveils latest electric vehicle with autonomous driving capabilities.,0,Technology
237,Economic growth exceeds expectations in latest report.,2,Business
238,Star athlete signs record-breaking contract worth millions.,1,Sports
239,Banking sector implements new digital payment system.,2,Business
240,Hockey team celebrates victory with hometown parade.,1,Sports
241,Hockey team celebrates victory with hometown parade.,1,Sports
242,Famous author releases bestselling novel to critical acclaim.,3,Entertainment
243,Hockey team celebrates victory with hometown parade.,1,Sports
244,National soccer team advances to finals after stunning performance.,1,Sports
245,Company announces layoffs amid restructuring efforts.,2,Business
246,Tesla unveils latest electric vehicle with autonomous driving capabilities. Industry experts are closely monitoring the situation.,0,Technology
247,Baseball team makes historic comeback in ninth inning.,1,Sports
248,Rock band announces reunion tour after decade-long hiatus. Industry experts are closely monitoring the situation.,3,Entertainment
249,Baseball team makes historic comeback in ninth inning.,1,Sports
250,Consumer spending increases during holiday shopping season.,2,Business
251,Major retailer announces expansion plans with hundreds of new stores.,2,Business
252,Tesla unveils latest electric vehicle with autonomous driving capabilities.,0,Technology
253,Major retailer announces expansion plans with hundreds of new stores.,2,Business
254,Cybersecurity experts warn about new malware targeting businesses.,0,Technology
255,Trade agreement signed between major economic powers.,2,Business
256,Merger creates industry giant in telecommunications sector.,2,Business
257,National soccer team advances to finals after stunning performance. Industry experts are closely monitoring the situation.,1,Sports
258,Star athlete signs record-breaking contract worth millions. Industry experts are closely monitoring the situation.,1,Sports
259,Blockbuster movie breaks box office records on opening weekend.,3,Entertainment
260,Real estate market shows signs of recovery in major cities. Industry experts are closely monitoring the situation.,2,Business
261,Tesla unveils latest electric vehicle with autonomous driving capabilities. Industry experts are closely monitoring the situation.,0,Technology
262,Pop star performs sold-out concert at major venue.,3,Entertainment
263,Major tech company announces plans to hire thousands of engineers.,0,Technology
264,Animation studio reveals plans for upcoming feature film.,3,Entertainment
265,Merger creates industry giant in telecommunications sector. Industry experts are closely monitoring the situation.,2,Business
266,Famous actor wins prestigious award for outstanding performance.,3,Entertainment
267,Scientists develop faster processors using advanced chip technology.,0,Technology
268,Social media platform introduces enhanced privacy features for users.,0,Technology
269,Apple announces new iPhone with revolutionary AI features and improved battery life.,0,Technology
270,Trade agreement signed between major economic powers.,2,Business
271,Banking sector implements new digital payment system.,2,Business
272,Rock band announces reunion tour after decade-long hiatus.,3,Entertainment
273,Tesla unveils latest electric vehicle with autonomous driving capabilities.,0,Technology
274,Animation studio reveals plans for upcoming feature film.,3,Entertainment
275,Famous actor wins prestigious award for outstanding performance.,3,Entertainment
276,New album debuts at number one on music charts worldwide.,3,Entertainment
277,Football coach receives award for outstanding season performance.,1,Sports
278,Google launches advanced machine learning platform for developers worldwide.,0,Technology
279,Economic growth exceeds expectations in latest report. Industry experts are closely monitoring the situation.,2,Business
280,Streaming service launches new feature powered by artificial intelligence.,0,Technology
281,New album debuts at number one on music charts worldwide.,3,Entertainment
282,Pharmaceutical giant develops breakthrough medication for disease.,2,Business
283,Tennis champion claims another Grand Slam title in epic match.,1,Sports
284,Investors show confidence with strong market performance.,2,Business
285,Oil prices surge following international production cuts.,2,Business
286,Major tech company announces plans to hire thousands of engineers. Industry experts are closely monitoring the situation.,0,Technology
287,Meta introduces new virtual reality headset for immersive experiences.,0,Technology
288,Animation studio reveals plans for upcoming feature film.,3,Entertainment
289,Meta introduces new virtual reality headset for immersive experiences.,0,Technology
290,Meta introduces new virtual reality headset for immersive experiences.,0,Technology
291,Consumer spending increases during holiday shopping season.,2,Business
292,Broadway show receives standing ovation at premiere night.,3,Entertainment
293,Company announces layoffs amid restructuring efforts.,2,Business
294,Rock band announces reunion tour after decade-long hiatus.,3,Entertainment
295,Cricket match ends in dramatic tie-breaking finale.,1,Sports
296,Researchers achieve breakthrough in quantum computing technology.,0,Technology
297,Amazon develops AI assistant that can understand complex commands.,0,Technology
298,New album debuts at number one on music charts worldwide.,3,Entertainment
299,Rock band announces reunion tour after decade-long hiatus. Industry experts are closely monitoring the situation.,3,Entertainment
300,Major tech company announces plans to hire thousands of engineers. Industry experts are closely monitoring the situation.,0,Technology
301,Gymnast wins gold medal with perfect score at championships.,1,Sports
302,Social media platform introduces enhanced privacy features for users.,0,Technology
303,Famous actor wins prestigious award for outstanding performance.,3,Entertainment
304,Major retailer announces expansion plans with hundreds of new stores.,2,Business
305,Olympic committee reveals host city for upcoming games. Industry experts are closely monitoring the situation.,1,Sports
306,Music festival attracts thousands of fans from around the world. Industry experts are closely monitoring the situation.,3,Entertainment
307,Investors show confidence with strong market performance.,2,Business
308,Pharmaceutical giant develops breakthrough medication for disease.,2,Business
309,Swimmer qualifies for Olympics with personal best time.,1,Sports
310,Major tech company announces plans to hire thousands of engineers. Industry experts are closely monitoring the situation.,0,Technology
311,Oil prices surge following international production cuts.,2,Business
312,Popular TV series announces final season to fans' disappointment.,3,Entertainment
313,Major retailer announces expansion plans with hundreds of new stores.,2,Business
314,Gymnast wins gold medal with perfect score at championships.,1,Sports
315,Oil prices surge following international production cuts. Industry experts are closely monitoring the situation.,2,Business
316,Tennis champion claims another Grand Slam title in epic match.,1,Sports
317,Director unveils trailer for highly anticipated film sequel.,3,Entertainment
318,Famous actor wins prestigious award for outstanding performance.,3,Entertainment
319,Famous actor wins prestigious award for outstanding performance.,3,Entertainment
320,Director unveils trailer for highly anticipated film sequel.,3,Entertainment
321,Major tech company announces plans to hire thousands of engineers. Industry experts are closely monitoring the situation.,0,Technology
322,Award show celebrates best performances of the year.,3,Entertainment
323,Google launches advanced machine learning platform for developers worldwide.,0,Technology
324,Amazon develops AI assistant that can understand complex commands.,0,Technology
325,National soccer team advances to finals after stunning performance.,1,Sports
326,Young athlete becomes youngest champion in sport's history.,1,Sports
327,Streaming platform releases hit series that captivates audiences.,3,Entertainment
328,Golf tournament sees upset victory by underdog player.,1,Sports
329,New album debuts at number one on music charts worldwide.,3,Entertainment
330,Star athlete signs record-breaking contract worth millions.,1,Sports
331,Meta introduces new virtual reality headset for immersive experiences.,0,Technology
332,Marathon runner breaks world record at international competition.,1,Sports
333,Animation studio reveals plans for upcoming feature film.,3,Entertainment
334,Baseball team makes historic comeback in ninth inning.,1,Sports
335,Social media platform introduces enhanced privacy features for users. Industry experts are closely monitoring the situation.,0,Technology
336,Award show celebrates best performances of the year.,3,Entertainment
337,Apple announces new iPhone with revolutionary AI features and improved battery life.,0,Technology
338,Major tech company announces plans to hire thousands of engineers.,0,Technology
339,Automotive manufacturer reports record quarterly earnings.,2,Business
340,Blockbuster movie breaks box office records on opening weekend.,3,Entertainment
341,Consumer spending increases during holiday shopping season.,2,Business
342,Tesla unveils latest electric vehicle with autonomous driving capabilities.,0,Technology
343,New album debuts at number one on music charts worldwide.,3,Entertainment
344,Marathon runner breaks world record at international competition.,1,Sports
345,Baseball team makes historic comeback in ninth inning. Industry experts are closely monitoring the situation.,1,Sports
346,Famous author releases bestselling novel to critical acclaim.,3,Entertainment
347,Microsoft acquires gaming company in landmark $70 billion deal.,0,Technology
348,Director unveils trailer for highly anticipated film sequel.,3,Entertainment
349,Streaming platform releases hit series that captivates audiences.,3,Entertainment
350,Marathon runner breaks world record at international competition.,1,Sports
351,Streaming service launches new feature powered by artificial intelligence.,0,Technology
352,Researchers achieve breakthrough in quantum computing technology.,0,Technology
353,Investors show confidence with strong market performance.,2,Business
354,Famous author releases bestselling novel to critical acclaim.,3,Entertainment
355,Tesla unveils latest electric vehicle with autonomous driving capabilities. Industry experts are closely monitoring the situation.,0,Technology
356,Basketball legend announces retirement after illustrious career.,1,Sports
357,Director unveils trailer for highly anticipated film sequel. Industry experts are closely monitoring the situation.,3,Entertainment
358,Blockbuster movie breaks box office records on opening weekend.,3,Entertainment
359,Economic growth exceeds expectations in latest report.,2,Business
360,Company announces layoffs amid restructuring efforts. Industry experts are closely monitoring the situation.,2,Business
361,Scientists develop faster processors using advanced chip technology.,0,Technology
362,Major tech company announces plans to hire thousands of engineers.,0,Technology
363,Tennis champion claims another Grand Slam title in epic match.,1,Sports
364,Researchers achieve breakthrough in quantum computing technology.,0,Technology
365,Star athlete signs record-breaking contract worth millions. Industry experts are closely monitoring the situation.,1,Sports
366,Social media platform introduces enhanced privacy features for users.,0,Technology
367,Rock band announces reunion tour after decade-long hiatus. Industry experts are closely monitoring the situation.,3,Entertainment
368,Apple announces new iPhone with revolutionary AI features and improved battery life.,0,Technology
369,Stock market reaches record high amid strong economic indicators. Industry experts are closely monitoring the situation.,2,Business
370,Tech giant invests billions in renewable energy infrastructure.,0,Technology
371,Music festival attracts thousands of fans from around the world.,3,Entertainment
372,Blockbuster movie breaks box office records on opening weekend.,3,Entertainment
373,Google launches advanced machine learning platform for developers worldwide.,0,Technology
374,Celebrity couple announces engagement in social media post.,3,Entertainment
375,Celebrity couple announces engagement in social media post. Industry experts are closely monitoring the situation.,3,Entertainment
376,Pop star performs sold-out concert at major venue.,3,Entertainment
377,Major tech company announces plans to hire thousands of engineers.,0,Technology
378,Famous actor wins prestigious award for outstanding performance.,3,Entertainment
379,Blockbuster movie breaks box office records on opening weekend. Industry experts are closely monitoring the situation.,3,Entertainment
380,Consumer spending increases during holiday shopping season.,2,Business
381,Banking sector implements new digital payment system.,2,Business
382,Olympic committee reveals host city for upcoming games.,1,Sports
383,Apple announces new iPhone with revolutionary AI features and improved battery life.,0,Technology
384,Rock band announces reunion tour after decade-long hiatus.,3,Entertainment
385,Pharmaceutical giant develops breakthrough medication for disease.,2,Business
386,Tennis champion claims another Grand Slam title in epic match.,1,Sports
387,Young athlete becomes youngest champion in sport's history.,1,Sports
388,Real estate market shows signs of recovery in major cities.,2,Business
389,National soccer team advances to finals after stunning performance.,1,Sports
390,Famous author releases bestselling novel to critical acclaim. Industry experts are closely monitoring the situation.,3,Entertainment
391,Pop star performs sold-out concert at major venue.,3,Entertainment
392,New album debuts at number one on music charts worldwide.,3,Entertainment
393,Streaming service launches new feature powered by artificial intelligence.,0,Technology
394,Gymnast wins gold medal with perfect score at championships.,1,Sports
395,Olympic committee reveals host city for upcoming games.,1,Sports
396,Gymnast wins gold medal with perfect score at championships.,1,Sports
397,Oil prices surge following international production cuts. Industry experts are closely monitoring the situation.,2,Business
398,Popular TV series announces final season to fans' disappointment. Industry experts are closely monitoring the situation.,3,Entertainment
399,New smartphone app uses AI to detect health conditions early.,0,Technology
400,Swimmer qualifies for Olympics with personal best time.,1,Sports
401,Olympic committee reveals host city for upcoming games.,1,Sports
402,Researchers achieve breakthrough in quantum computing technology. Industry experts are closely monitoring the situation.,0,Technology
403,Local team wins championship after thrilling overtime victory.,1,Sports
404,Swimmer qualifies for Olympics with personal best time.,1,Sports
405,Social media platform introduces enhanced privacy features for users.,0,Technology
406,Pharmaceutical giant develops breakthrough medication for disease.,2,Business
407,Award show celebrates best performances of the year.,3,Entertainment
408,Social media platform introduces enhanced privacy features for users.,0,Technology
409,Economic growth exceeds expectations in latest report.,2,Business
410,Merger creates industry giant in telecommunications sector.,2,Business
411,Swimmer qualifies for Olympics with personal best time.,1,Sports
412,Swimmer qualifies for Olympics with personal best time.,1,Sports
413,Music festival attracts thousands of fans from around the world. Industry experts are closely monitoring the situation.,3,Entertainment
414,Young athlete becomes youngest champion in sport's history.,1,Sports
415,Microsoft acquires gaming company in landmark $70 billion deal.,0,Technology
416,Oil prices surge following international production cuts.,2,Business
417,Researchers achieve breakthrough in quantum computing technology.,0,Technology
418,Microsoft acquires gaming company in landmark $70 billion deal.,0,Technology
419,Major tech company announces plans to hire thousands of engineers.,0,Technology
420,Popular TV series announces final season to fans' disappointment.,3,Entertainment
421,Olympic committee reveals host city for upcoming games.,1,Sports
422,Apple announces new iPhone with revolutionary AI features and improved battery life.,0,Technology
423,Oil prices surge following international production cuts.,2,Business
424,Golf tournament sees upset victory by underdog player.,1,Sports
425,Central bank adjusts interest rates to control inflation.,2,Business
426,Famous author releases bestselling novel to critical acclaim.,3,Entertainment
427,Economic growth exceeds expectations in latest report.,2,Business
428,Trade agreement signed between major economic powers.,2,Business
429,Consumer spending increases during holiday shopping season.,2,Business
430,Major retailer announces expansion plans with hundreds of new stores.,2,Business
431,Major tech company announces plans to hire thousands of engineers.,0,Technology
432,Award show celebrates best performances of the year.,3,Entertainment
433,Consumer spending increases during holiday shopping season.,2,Business
434,Basketball legend announces retirement after illustrious career. Industry experts are closely monitoring the situation.,1,Sports
435,Popular TV series announces final season to fans' disappointment. Industry experts are closely monitoring the situation.,3,Entertainment
436,Famous actor wins prestigious award for outstanding performance. Industry experts are closely monitoring the situation.,3,Entertainment
437,Startup company goes public with successful IPO launch. Industry experts are closely monitoring the situation.,2,Business
438,Olympic committee reveals host city for upcoming games.,1,Sports
439,Scientists develop faster processors using advanced chip technology.,0,Technology
440,Reality show returns for new season with fresh contestants. Industry experts are closely monitoring the situation.,3,Entertainment
441,Streaming service launches new feature powered by artificial intelligence.,0,Technology
442,Meta introduces new virtual reality headset for immersive experiences. Industry experts are closely monitoring the situation.,0,Technology
443,Company announces layoffs amid restructuring efforts.,2,Business
444,Cricket match ends in dramatic tie-breaking finale.,1,Sports
445,Banking sector implements new digital payment system.,2,Business
446,Basketball legend announces retirement after illustrious career.,1,Sports
447,Gymnast wins gold medal with perfect score at championships. Industry experts are closely monitoring the situation.,1,Sports
448,Major retailer announces expansion plans with hundreds of new stores.,2,Business
449,Golf tournament sees upset victory by underdog player.,1,Sports
